,appid,steamspy_tags
1327,21500,Sci-fi
1328,21640,Strategy
1329,21640,Casual
1330,21640,Puzzle
1331,21660,Fighting
1332,21660,Action
1333,21660,Arcade
1334,21670,Action
1335,21670,Adventure
1336,21670,Third Person
1337,21680,Action
1338,21680,Platformer
1339,21680,Remake
1340,21690,Action
1341,21690,Zombies
1342,21690,Co-op
1343,21780,Racing
1344,21780,Action
1345,21780,Open World
1346,21800,Strategy
1347,21800,RTS
1348,21800,Tactical
1349,21980,Western
1350,21980,Action
1351,21980,FPS
1352,22000,Puzzle
1353,22000,Indie
1354,22000,Physics
1355,22100,RPG
1356,22100,Medieval
1357,22100,Open World
1358,22120,Horror
1359,22120,Adventure
1360,22120,First-Person
1361,22130,Strategy
1362,22130,Grand Strategy
1363,22130,World War II
1364,22180,Horror
1365,22180,Adventure
1366,22180,First-Person
1367,22200,Action
1368,22200,Indie
1369,22200,Surreal
1370,22230,Comedy
1371,22230,Indie
1372,22230,Strategy
1373,22300,Open World
1374,22300,Post-apocalyptic
1375,22300,RPG
1376,22310,Action
1377,22310,FPS
1378,22310,Comedy
1379,22320,RPG
1380,22320,Open World
1381,22320,Fantasy
1382,22330,Open World
1383,22330,RPG
1384,22330,Fantasy
1385,22350,FPS
1386,22350,Action
1387,22350,Multiplayer
1388,22370,Open World
1389,22370,RPG
1390,22370,Post-apocalyptic
1391,22380,Open World
1392,22380,RPG
