appid,platform
226120,windows
226120,mac
226120,linux
226560,windows
226580,windows
226620,windows
226620,mac
226620,linux
226720,windows
226740,windows
226740,mac
226740,linux
226780,windows
226820,windows
226820,mac
226840,windows
226840,mac
226840,linux
226860,windows
226960,windows
226960,mac
226960,linux
227000,windows
227060,windows
227080,windows
227080,mac
227080,linux
227100,windows
227160,windows
227160,mac
227160,linux
227200,windows
227200,mac
227200,linux
227220,windows
227300,windows
227300,mac
227300,linux
227380,windows
227380,mac
227380,linux
227560,windows
227560,mac
227580,windows
227580,mac
227580,linux
227600,windows
227760,windows
227780,windows
227800,windows
